Player_name,Level,Role,Metric,Score
Shamar Joseph,capped,Bowler,Consistency,30.0
Aryan Juyal,Uncapped,Wicket Keeper,Consistency,30.0
RS Hangargekar,Uncapped,All Rounder,Consistency,30.0
Yuvraj Chaudhary,Uncapped,All Rounder,Consistency,30.0
Arshin Kulkarni,Uncapped,All Rounder,Consistency,30.0
Himmat Singh,Uncapped,Batter,Consistency,30.0
Nandre Burger,capped,Bowler,Consistency,30.0
Ashok Sharma,Uncapped,Bowler,Consistency,30.0
Swapnil Singh,Uncapped,All Rounder,Consistency,30.0
Mahipal Lomror,capped,All Rounder,Consistency,30.0
Lhuan-dre Pretorius,Uncapped,Wicket Keeper,Consistency,30.0
Kunal Rathore,Uncapped,Wicket Keeper,Consistency,30.0
Shreyas Gopal,Uncapped,Bowler,Consistency,30.0
Kamlesh Nagarkoti,Uncapped,Bowler,Consistency,30.0
Luvnith Sisodia,Uncapped,Wicket Keeper,Consistency,30.0
Darshan Nalkande,Uncapped,All Rounder,Consistency,30.0
Mayank Markande,Uncapped,Bowler,Consistency,30.0
Vansh Bedi,Uncapped,Wicket Keeper,Consistency,30.0
Ramakrishna Ghosh,Uncapped,All Rounder,Consistency,30.0
Ajay Jadav Mandal,Uncapped,All Rounder,Consistency,30.0
Umran Malik,capped,Bowler,Consistency,30.0
Tripurana Vijay,Uncapped,All Rounder,Consistency,30.0
Dasun Shanaka,capped,All Rounder,Consistency,30.0
Mohit Rathee,Uncapped,All Rounder,Consistency,30.0
Arjun Tendulkar,capped,All Rounder,Consistency,30.0
Lizaad Williams,capped,Bowler,Consistency,30.0
Raghu Sharma,Uncapped,Bowler,Consistency,30.0
Tim Seifert,capped,Wicket Keeper,Consistency,30.0
Andre Siddarth,Uncapped,Batter,Consistency,30.0
Reece Topley,capped,Bowler,Consistency,30.0
Harnoor Singh,Uncapped,Batter,Consistency,30.0
Pyla Avinash,Uncapped,Batter,Consistency,30.0
Jonny Bairstow,capped,Wicket Keeper,Consistency,30.0
Krishnan Shrijith,Uncapped,Wicket Keeper,Consistency,30.0
Abhinandan Singh,Uncapped,Bowler,Consistency,30.0
Blessing Muzarabani,Uncapped,Bowler,Consistency,30.0
Charith Asalanka,capped,All Rounder,Consistency,30.0
Jayant Yadav,Uncapped,All Rounder,Consistency,30.0
Raj Bawa,Uncapped,All Rounder,Consistency,30.0
Bevon Jacobs,capped,All Rounder,Consistency,30.0
Sachin Baby,Uncapped,Batter,Consistency,30.0
Musheer Khan,Uncapped,All Rounder,Consistency,30.0
Gurnoor Brar,Uncapped,Bowler,Consistency,30.0
Manvanth Kumar L,Uncapped,All Rounder,Consistency,30.0
Kusal Mendis,capped,Wicket Keeper,Consistency,30.0
Aaron Hardie,Uncapped,All Rounder,Consistency,30.0
Anuj Rawat,Uncapped,Wicket Keeper,Consistency,30.0
Kumar Kushagra,Uncapped,Wicket Keeper,Consistency,30.0
Mitchell Owen,capped,All Rounder,Consistency,30.0
Manav Suthar,Uncapped,Bowler,Consistency,30.0
Vaibhav Suryavanshi,Uncapped,Batter,FIS,97.21900106
Ayush Mhatre,Uncapped,Batter,FIS,99.75245561
Priyansh Arya,Uncapped,Batter,FIS,30.0
Urvil Patel,Uncapped,Wicket Keeper,FIS,30.0
Abishek Porel,Uncapped,Wicket Keeper,FIS,94.14122573
Aniket Verma,Uncapped,Batter,FIS,81.93519443
Mitchell Marsh,capped,All Rounder,FIS,63.28392028
Dewald Brevis,capped,Batter,FIS,30.0
Yashasvi Jaiswal,capped,Batter,FIS,50.02407515
Sai Sudharsan,capped,Batter,FIS,50.02214445
Phil Salt,capped,Wicket Keeper,FIS,63.46206088
Josh Inglis,capped,Wicket Keeper,FIS,63.91466907
Heinrich Klaasen,capped,Wicket Keeper,FIS,30.0
Prabhsimran Singh,capped,Wicket Keeper,FIS,30.0
Virat Kohli,Elite,Batter,FIS,51.61982541
Ajinkya Rahane,capped,Batter,FIS,30.0
Shaik Rasheed,Uncapped,Batter,FIS,83.73254567
Aiden Markram,capped,Batter,FIS,30.0
Jacob Bethell,capped,All Rounder,FIS,30.0
Surya kumar Yadav,Elite,Batter,FIS,48.51487515
Shubman Gill,Elite,Batter,FIS,57.01188332
Manish Pandey,capped,Batter,FIS,64.11964207
Sameer Rizvi,capped,Batter,FIS,54.85334057
Karun Nair,capped,Batter,FIS,62.40626926
Shubham Dubey,Uncapped,Batter,FIS,67.02692927
Atharva Taide,Uncapped,Batter,FIS,30.0
Sanju Samson,capped,Wicket Keeper,FIS,30.0
Travis Head,Elite,Batter,FIS,48.50613441
Dhruv Jurel,capped,Wicket Keeper,FIS,49.96082632
Devdutt Padikkal,capped,Batter,FIS,50.02214445
Jitesh Sharma,capped,Wicket Keeper,FIS,50.05800587
Shreyas Iyer,Elite,Batter,FIS,60.44767519
Nehal Wadhera,capped,Batter,FIS,69.29165332
Ryan Rickelton,capped,Wicket Keeper,FIS,30.0
Rohit Sharma,Elite,Batter,FIS,61.25226083
Nicholas Pooran,Elite,Wicket Keeper,FIS,51.7212908
Ishan Kishan,capped,Wicket Keeper,FIS,30.0
