Player_id,Team,Player_name,Role,Nationality,Auction_price,Batting_type,Bowling type,Level,PPS_Score,Consistency_Score,Opening_Score,Middle_Score,Death_Score,Final_Phase_Score,RSI_Score,TCS_Score,FIS_Score,Overall_Score
CSKA7,CSK,Anshul Kamboj,All Rounder,India,340,Right-hand,Right Medium-Fast,capped,57.371555938904464,69.54276915328461,59.809475787965376,64.87849539268908,60.81964477509249,61.85486717463394,30.0,53.84314678209293,64.08603522095179,54.7
PBKSA5,PBKS,Shashank Singh,All Rounder,India,550,Right-hand,Right Medium,capped,62.43640028395189,73.94779239903602,79.21187277279236,75.84385186711387,77.8395770846487,77.82676805225252,30.0,58.37937149588795,30.0,54.31
LSGO6,LSG,Prince Yadav,Bowler,India,30,Right-hand,Right Fast-Medium,Uncapped,56.45191550318188,66.11122863226291,62.85879386018873,67.80484955816345,63.13023509548359,64.67533452365791,30.0,52.0583194211821,89.95832486843423,54.29
DCB5,DC,Jake Frazer McGurk,Batter,Australia,900,Right-hand,Right Off-Spin,capped,59.37621592884049,48.381224407138326,65.00341074815552,49.24355390132246,60.80761715284047,60.64262605874145,52.86487006715248,60.859165362770824,30.0,54.27
LSGO7,LSG,Akash Singh,Bowler,India,30,Right-hand,Left Medium-Fast,Uncapped,59.92738312859474,92.35843218022308,59.445437495016776,85.1068919196116,63.37806964477387,69.76828223611464,30.0,59.707706796120405,30.0,54.12
KKRO4,KKR,Harshit Rana,Bowler,India,400,Right-hand,Right Fast,capped,62.51155322012306,62.02953884707194,56.875176904766306,63.540065081815655,58.50423297169884,60.440566644429204,30.0,59.46926527057229,70.35119736350384,54.05
PBKSA8,PBKS,Azmatullah Omarzai,All Rounder,Afghanistan,240,Right-hand,Right Medium-Fast,capped,56.013411162722015,54.43859191014729,55.653324074150945,55.01372801866905,54.70428804553213,55.08566599470978,47.55001044227916,60.435791274358785,49.86679472074117,53.91
RRO1,RR,Yudhvir Singh Charak,Bowler,India,35,Right-hand,Right Medium-Fast,Uncapped,59.65030071736915,92.0474707530355,62.12751007941447,90.74185902179431,68.74472623122116,75.53545061882238,30.0,55.37425731968602,30.0,53.83
PBKSA7,PBKS,Praveen Dubey,All Rounder,India,30,Right-hand,Right Leg-Spin,Uncapped,59.421764047649035,85.26605342860012,57.129346949253176,74.73785209288445,59.79057496052586,63.66677802037734,30.0,60.04064397633146,30.0,53.76
RRO9,RR,Jofra Archer,Bowler,England,1250,Right-hand,Right Fast,capped,59.09945443475938,63.36154528677239,58.248221447968746,62.1008284285054,57.29370819458766,59.88766847206161,30.0,62.465320616098765,62.48327916136371,53.55
