Player_name,Level,Role,Overall_Score,PPS_Score,Consistency_Score,Opening_Score,Middle_Score,Death_Score,Final_Phase_Score,RSI_Score,TCS_Score,FIS_Score,Auction_price,Predicted_Price,Price_Impact_Actual,Price_Impact_Predicted,Overall_Score_Grade
Aiden Markram,capped,Batter,74.59,78.08874077,68.23357574,71.21893779,75.52983817,71.97223929,72.64126372,77.11915204,91.51867117,30.0,200,465.70987094359594,,,High
Jacob Bethell,capped,All Rounder,74.54,89.12628682,83.87952512,89.60167712,86.74080649,85.17127572,85.9560679,66.49295553,89.49579944,30.0,260,391.89363430656954,,,High
Surya kumar Yadav,Elite,Batter,73.88,74.11834835,90.38524939,76.74166335,85.48953079,73.73500625,78.06273187,77.24561864,71.3934483,48.51487515,1635,1742.243774198656,2.7663102328099622,2.947759498847212,High
Shubman Gill,Elite,Batter,73.57,75.18367483,71.39053814,72.70904038,77.32043862,70.43140203,72.87249904,75.16829177,78.93523124,57.01188332,1650,1587.1606600109428,2.803452494223189,2.6966845521458187,High
Manish Pandey,capped,Batter,73.37,73.81734272,82.62303928,78.34570295,82.05610677,81.27788884,80.02844686,71.64288903,70.81758504,64.11964207,75,142.51287478095492,,,High
Sameer Rizvi,capped,Batter,73.25,66.2062066,86.37233391,83.47089966,87.59655443,85.25391104,85.19189661,75.94779038,69.72746582,54.85334057,95,242.62584645077942,,,High
Karun Nair,capped,Batter,73.07,77.16990544,66.48900086,73.56256399,68.84178381,69.83363781,70.90744815,73.09796624,78.76471826,62.40626926,50,469.8231862795469,,,High
Shubham Dubey,Uncapped,Batter,72.54,62.98726534,71.13319716,93.52446028,73.80214766,94.20957859,99.70304292,76.5437541,60.75043116,67.02692927,80,114.92074566466685,1.1028398125172318,1.584239670039521,High
Atharva Taide,Uncapped,Batter,72.49,72.26823865,72.27153246,97.18554422,73.87875155,92.54718397,100.0,68.83570865,76.84021387,30.0,30,21.50904595116224,0.41385018623258385,0.2967174224191232,High
Sanju Samson,capped,Wicket Keeper,71.9,75.30218317,75.58501558,77.31203195,80.04603858,77.29362685,78.06617285,73.12261689,80.23495225,30.0,1800,1356.8217985361646,,,High
Travis Head,Elite,Batter,71.62,86.89062388,71.14799454,72.54568157,73.30124354,70.6436214,72.1118936,67.23826895,75.97546278,48.50613441,1400,1314.327660040398,2.4434515498464116,2.2939256842369415,High
Dhruv Jurel,capped,Wicket Keeper,71.25,73.62287777,79.4793201,81.05704264,77.21442252,85.12837515,81.52203741,71.55792448,68.59762341,49.96082632,1400,1277.7822364150288,,,High
Devdutt Padikkal,capped,Batter,70.59,75.25425128,62.97147266,71.08800346,70.95033564,71.29117014,71.12451981,69.82253008,79.52248083,50.02214445,200,509.21044464657564,,,High
Jitesh Sharma,capped,Wicket Keeper,70.3,66.27917333,90.38835446,86.82082093,88.19005356,88.04907293,87.59563385,73.87552425,58.82739857,50.05800587,1100,1161.525753125618,,,High
